trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-208.04971831719442,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,9,-17.395937530614788,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,9,-88.30485506188921,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-55.89369586702872,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,5,-75.74700455747512,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,11,12.939427307593752,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-60.87900362992975,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-138.1365127192486,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-118.48549273640923,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-105.31189395077227,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-102.27360416068838,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,20,7.7143928327576266,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-37.182622054327354,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,10,-98.48111160084338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,-43.219105850103844,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-36.43740975014719,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,-28.334607226811578,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,9,-88.37134547863077,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-29.16149029807438,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,25.327237885552147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,9,-58.61922423708866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,10,-17.900949088826593,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-57.37766968913598,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-63.230679981697264,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,14,9.903483913858857,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,-37.83743544772403,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,1,-95.8908100925119,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,0,-91.70908018863923,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-21.34798849090596,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-92.06961988474522,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
